Name,AffixName,AffixKind,Position,Stat,ValueKind,TopValue,Breadth,Ailment,Gem,HybridPart1,HybridPart2,AllowedSlots,NameWord
Stat_Increased_energy_shield_regeneration,Increased energy shield regeneration,Stat,suffix,energy_shield_regen,increased,12.0,0,,,,,"Chest, Head, Relic, Ring, Shoulders",the Barrier
Stat_Flat_life_leech,Flat life leech,Stat,suffix,life_leech,flat,0.5,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",the Leech
Stat_Flat_block_chance,Flat block chance,Stat,suffix,block_chance,flat,5.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",the Shield
Stat_Flat_damage_reduction,Flat damage reduction,Stat,suffix,damage_reduction,flat,2.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",the Aegis
Stat_Flat_retaliation,Flat retaliation,Stat,suffix,retaliation,flat,2.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",Reprisal
Stat_Flat_crowd_control_resistance,Flat crowd control resistance,Stat,suffix,crowd_control_resistance,flat,5.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",Steadfastness
Stat_Flat_critical_strike_chance,Flat critical strike chance,Stat,suffix,crit_chance,flat,5.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Precision
Stat_Increased_critical_strike_chance,Increased critical strike chance,Stat,suffix,crit_chance,increased,25.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",the Keen Edge
Stat_Flat_critical_strike_multiplier,Flat critical strike multiplier,Stat,suffix,crit_multiplier,flat,20.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Brutality
Stat_Increased_attack_speed,Increased attack speed,Stat,suffix,attack_speed,increased,15.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Alacrity
Stat_Increased_area_of_effect,Increased area of effect,Stat,suffix,area_of_effect,increased,12.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Reach
Stat_Increased_damage_over_time_frequency,Increased damage over time frequency,Stat,suffix,dot_frequency,increased,52.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Quickening
Stat_Flat_penetration,Flat penetration,Stat,suffix,penetration,flat,4.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Piercing
Stat_Increased_movement_speed,Increased movement speed,Stat,suffix,movement_speed,increased,8.0,0,,,,,"Belt, Boots, Ring",Swiftness
Stat_Increased_cooldown_reduction,Increased cooldown reduction,Stat,suffix,cooldown_reduction,flat,12.0,0,,,,,"Belt, Boots, Necklace, Relic, Ring",Haste
Stat_Flat_magic_find,Flat magic find,Stat,suffix,magic_find,flat,10.0,0,,,,,"Belt, Boots, Necklace, Relic, Ring",Fortune
Stat_Increased_loot_quantity,Increased loot quantity,Stat,suffix,loot_quantity,increased,8.0,0,,,,,"Belt, Boots, Necklace, Relic, Ring",Plenty
Resistance_Single_resistance,Single resistance,Resistance,suffix,,flat,20.0,1,,,,,"Belt, Boots, Chest, Gloves, Head, Necklace, Pants, Relic, Ring, Shoulders",Warding
Resistance_Two_resistances,Two resistances,Resistance,suffix,,flat,14.0,2,,,,,"Belt, Boots, Chest, Gloves, Head, Necklace, Pants, Relic, Ring, Shoulders",Twin Wards
Resistance_All_resistances,All resistances,Resistance,suffix,,flat,6.0,8,,,,,"Belt, Boots, Chest, Gloves, Head, Necklace, Pants, Relic, Ring, Shoulders",the Bulwark
Ailment_Chance_to_bleed,Chance to bleed,Ailment,suffix,,,15.0,0,Bleed,Of Rending,,,"Necklace, Relic, Ring, Weapon",Rending
Ailment_Chance_to_poison,Chance to poison,Ailment,suffix,,,25.0,0,Poison,Of The Viper,,,"Necklace, Relic, Ring, Weapon",Venom
Ailment_Chance_to_disease,Chance to disease,Ailment,suffix,,,20.0,0,Disease,Of Rot,,,"Necklace, Relic, Ring, Weapon",Contagion
Ailment_Chance_to_apply_void_splinter,Chance to apply void splinter,Ailment,suffix,,,15.0,0,Void Splinter,Of The Abyss,,,"Necklace, Relic, Ring, Weapon",the Void
Ailment_Chance_to_necrose,Chance to necrose,Ailment,suffix,,,15.0,0,Necrosis,Of Wasting,,,"Necklace, Relic, Ring, Weapon",Rot
Ailment_Chance_to_madden,Chance to madden,Ailment,suffix,,,15.0,0,Madness,Of Madness,,,"Necklace, Relic, Ring, Weapon",Madness
Ailment_Chance_to_cripple,Chance to cripple,Ailment,suffix,,,15.0,0,Cripple,Of Maiming,,,"Necklace, Relic, Ring, Weapon",Lameness
Ailment_Chance_to_weaken,Chance to weaken,Ailment,suffix,,,15.0,0,Weaken,Of Withering,,,"Necklace, Relic, Ring, Weapon",Enfeebling
Ailment_Chance_to_shred,Chance to shred,Ailment,suffix,,,15.0,0,Shred,Of Shredding,,,"Necklace, Relic, Ring, Weapon",Sundering
Hybrid_Health_and_armor,Health and armor,Hybrid,prefix,,,0.0,0,,,Flat maximum health,Flat armor,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",
Hybrid_Health_and_energy_shield,Health and energy shield,Hybrid,prefix,,,0.0,0,,,Flat maximum health,Flat maximum energy shield,"Chest, Head, Ring, Shoulders",
Hybrid_Armor_and_evasion,Armor and evasion,Hybrid,prefix,,,0.0,0,,,Flat armor,Flat evasion,"Boots, Chest, Head, Pants, Ring, Shoulders",
Hybrid_Evasion_and_energy_shield,Evasion and energy shield,Hybrid,prefix,,,0.0,0,,,Flat evasion,Flat maximum energy shield,"Chest, Head, Ring, Shoulders",
Hybrid_Mana_and_energy_shield,Mana and energy shield,Hybrid,prefix,,,0.0,0,,,Flat maximum mana,Flat maximum energy shield,"Chest, Head, Relic, Ring",
Hybrid_Increased_health_and_armor,Increased health and armor,Hybrid,prefix,,,0.0,0,,,Increased maximum health,Increased armor,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",
Hybrid_Attack_speed_and_critical_strike_chance,Attack speed and critical strike chance,Hybrid,suffix,,,0.0,0,,,Increased attack speed,Increased critical strike chance,"Gloves, Necklace, Relic, Ring, Weapon",the Duelist
Hybrid_Critical_strike_chance_and_multiplier,Critical strike chance and multiplier,Hybrid,suffix,,,0.0,0,,,Flat critical strike chance,Flat critical strike multiplier,"Gloves, Necklace, Relic, Ring, Weapon",the Assassin
Hybrid_Health_and_mana_regeneration,Health and mana regeneration,Hybrid,suffix,,,0.0,0,,,Flat health regeneration,Flat mana regeneration,"Belt, Boots, Chest, Necklace, Ring",Renewal
Hybrid_Penetration_and_critical_strike_multiplier,Penetration and critical strike multiplier,Hybrid,suffix,,,0.0,0,,,Flat penetration,Flat critical strike multiplier,"Gloves, Necklace, Relic, Ring, Weapon",the Executioner
Hybrid_Block_chance_and_crowd_control_resistance,Block chance and crowd control resistance,Hybrid,suffix,,,0.0,0,,,Flat block chance,Flat crowd control resistance,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",the Sentinel
Hybrid_Magic_find_and_loot_quantity,Magic find and loot quantity,Hybrid,suffix,,,0.0,0,,,Flat magic find,Increased loot quantity,"Belt, Boots, Necklace, Relic, Ring",the Magpie
Ailment_Chance_to_burn,Chance to burn,Ailment,suffix,,,15.0,0,Burn,Of Embers,,,"Necklace, Relic, Ring, Weapon",Cinders
Ailment_Chance_to_stun,Chance to stun,Ailment,suffix,,,15.0,0,Stun,,,,"Necklace, Relic, Ring, Weapon",Concussion
Stat_Increased_agility,Increased agility,Stat,suffix,agility,increased,12.0,0,,,,,"Belt, Boots, Chest, Gloves, Head, Pants, Ring, Shoulders",the Fox
Stat_Increased_ferocity,Increased ferocity,Stat,suffix,ferocity,increased,12.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",the Wolf
Stat_Increased_constitution,Increased constitution,Stat,suffix,constitution,increased,12.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",the Bear
Stat_Increased_vitality,Increased vitality,Stat,suffix,vitality,increased,12.0,0,,,,,"Belt, Boots, Chest, Head, Necklace, Pants, Ring, Shoulders",the Ox
Stat_Increased_mind,Increased mind,Stat,suffix,mind,increased,12.0,0,,,,,"Belt, Boots, Chest, Head, Necklace, Relic, Ring",the Sage
Stat_Increased_spirit,Increased spirit,Stat,suffix,spirit,increased,12.0,0,,,,,"Chest, Head, Relic, Ring, Shoulders",the Seer
Stat_Increased_efficacy,Increased efficacy,Stat,suffix,efficacy,increased,12.0,0,,,,,"Belt, Boots, Gloves, Necklace, Relic, Ring, Weapon",the Adept
Stat_Increased_luck,Increased luck,Stat,suffix,luck,increased,12.0,0,,,,,"Belt, Boots, Necklace, Relic, Ring",the Gambler
Stat_Flat_mana_leech,Flat mana leech,Stat,suffix,mana_leech,flat,0.5,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Drawing
Stat_Flat_energy_shield_leech,Flat energy shield leech,Stat,suffix,energy_shield_leech,flat,0.5,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Siphoning
Stat_Increased_damage_against_War_enemies,Increased damage against War enemies,Stat,prefix,damage_vs_war,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Demonic_enemies,Increased damage against Demonic enemies,Stat,prefix,damage_vs_demonic,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Death_enemies,Increased damage against Death enemies,Stat,prefix,damage_vs_death,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Pestilence_enemies,Increased damage against Pestilence enemies,Stat,prefix,damage_vs_pestilence,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Famine_enemies,Increased damage against Famine enemies,Stat,prefix,damage_vs_famine,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Celestial_enemies,Increased damage against Celestial enemies,Stat,prefix,damage_vs_celestial,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Chaos_enemies,Increased damage against Chaos enemies,Stat,prefix,damage_vs_chaos,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_against_Void_enemies,Increased damage against Void enemies,Stat,prefix,damage_vs_void,flat,400.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_damage_over_time,Increased damage over time,Stat,suffix,dot_damage,increased,52.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Affliction
Stat_Increased_damage_over_time_duration,Increased damage over time duration,Stat,suffix,dot_duration,increased,52.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",Lingering
Stat_Increased_minion_damage,Increased minion damage,Stat,prefix,minion_damage,increased,125.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",
Stat_Increased_minion_health,Increased minion health,Stat,prefix,minion_health,increased,12.0,0,,,,,"Belt, Boots, Chest, Head, Pants, Ring, Shoulders",
Stat_Increased_minion_attack_speed,Increased minion attack speed,Stat,suffix,minion_attack_speed,increased,15.0,0,,,,,"Gloves, Necklace, Relic, Ring, Weapon",the Master
Hybrid_Minion_damage_and_minion_health,Minion damage and minion health,Hybrid,prefix,,,0.0,0,,,Increased minion damage,Increased minion health,Ring,
